City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Codrington,AU,61.5,light rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
5,Bluff,NZ,55.8,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
6,Saldanha,ZA,60.49,clear sky,-33.0117,17.9442,Blue Bay Lodge
8,Busselton,AU,56.82,clear sky,-33.65,115.3333,Observatory Guest House
9,Ushuaia,AR,47.86,few clouds,-54.8,-68.3,Albatross Hotel
10,Port Hardy,CA,50.18,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
11,Arraial Do Cabo,BR,76.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
12,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
14,Punta Arenas,CL,50.11,broken clouds,-53.15,-70.9167,Hotel Hain
15,Jamestown,US,55.53,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
16,Hermanus,ZA,59.88,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
18,Port Lincoln,AU,65.14,clear sky,-34.7333,135.8667,Port Lincoln Hotel
20,Ahipara,NZ,64.87,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
21,Atuona,PF,78.17,light rain,-9.8,-139.0333,Villa Enata
22,Tuatapere,NZ,55.62,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
23,Carnarvon,AU,66.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
25,Rikitea,PF,77.83,light rain,-23.1203,-134.9692,People ThankYou
26,Waipawa,NZ,53.33,scattered clouds,-41.4122,175.5153,Tora Coastal Walk
27,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
28,Victoria,HK,76.17,few clouds,22.2855,114.1577,Mini Hotel Central
29,East London,ZA,68.88,overcast clouds,-33.0153,27.9116,Tu Casa
33,Yamethin,MM,78.17,scattered clouds,20.4333,96.15,အလင်းရောင် ဘက်ထရီ
34,Bihac,BA,55.45,few clouds,44.8169,15.8708,Hotel Emporium
35,Chuy,UY,55.98,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
37,Mataura,NZ,55.47,clear sky,-46.1927,168.8643,Ellie's Villa
40,Souillac,MU,76.26,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
44,Cape Town,ZA,59.88,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
