City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Codrington,AU,-38.2667,141.9667,61.5,49,100,6.6,light rain
1,Yar-Sale,RU,66.8333,70.8333,33.94,99,100,14.65,overcast clouds
2,Chokurdakh,RU,70.6333,147.9167,6.39,93,100,7.4,overcast clouds
3,Puerto Ayora,EC,-0.7393,-90.3518,80.56,81,96,9.17,light rain
4,Lorengau,PG,-2.0226,147.2712,82.71,78,41,7.58,scattered clouds
5,Bluff,NZ,-46.6,168.3333,55.8,75,11,11.32,few clouds
6,Saldanha,ZA,-33.0117,17.9442,60.49,68,5,19.8,clear sky
7,Shubarshi,KZ,48.5872,57.1869,49.15,69,65,14.0,broken clouds
8,Busselton,AU,-33.65,115.3333,56.82,86,0,7.96,clear sky
9,Ushuaia,AR,-54.8,-68.3,47.86,57,20,18.41,few clouds
10,Port Hardy,CA,50.6996,-127.4199,50.18,50,75,3.44,broken clouds
11,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,88,0,12.66,clear sky
12,Bathsheba,BB,13.2167,-59.5167,77.61,94,75,17.27,broken clouds
13,Banda Aceh,ID,5.5577,95.3222,80.19,80,91,1.79,overcast clouds
14,Punta Arenas,CL,-53.15,-70.9167,50.11,66,75,9.22,broken clouds
15,Jamestown,US,42.097,-79.2353,55.53,18,0,13.8,clear sky
16,Hermanus,ZA,-34.4187,19.2345,59.88,71,56,8.3,broken clouds
17,Hithadhoo,MV,-0.6,73.0833,83.19,72,97,7.54,overcast clouds
18,Port Lincoln,AU,-34.7333,135.8667,65.14,87,9,6.38,clear sky
19,Nyzhnya Duvanka,UA,49.5846,38.1743,45.64,90,95,7.61,overcast clouds
20,Ahipara,NZ,-35.1667,173.1667,64.87,58,33,3.71,scattered clouds
21,Atuona,PF,-9.8,-139.0333,78.17,79,54,13.85,light rain
22,Tuatapere,NZ,-46.1333,167.6833,55.62,68,1,4.38,clear sky
23,Carnarvon,AU,-24.8667,113.6333,66.27,72,0,5.75,clear sky
24,Qaanaaq,GL,77.484,-69.3632,-2.74,90,98,3.98,overcast clouds
25,Rikitea,PF,-23.1203,-134.9692,77.83,69,27,17.36,light rain
26,Waipawa,NZ,-41.4122,175.5153,53.33,56,27,2.66,scattered clouds
27,San Cristobal,VE,7.7669,-72.225,77.18,53,100,4.14,overcast clouds
28,Victoria,HK,22.2855,114.1577,76.17,72,15,18.01,few clouds
29,East London,ZA,-33.0153,27.9116,68.88,80,100,9.22,overcast clouds
30,Albany,US,42.6001,-73.9662,58.57,77,100,7.0,overcast clouds
31,Norsup,VU,-16.0667,167.3833,84.04,72,16,9.6,few clouds
32,Nikolskoye,RU,59.7035,30.7861,38.88,99,100,2.57,overcast clouds
33,Yamethin,MM,20.4333,96.15,78.17,59,40,7.87,scattered clouds
34,Bihac,BA,44.8169,15.8708,55.45,91,23,4.47,few clouds
35,Chuy,UY,-33.6971,-53.4616,55.98,64,1,10.74,clear sky
36,Talnakh,RU,69.4865,88.3972,23.31,88,100,11.5,overcast clouds
37,Mataura,NZ,-46.1927,168.8643,55.47,74,5,2.26,clear sky
38,Maniitsoq,GL,65.4167,-52.9,19.4,69,57,16.17,broken clouds
39,Pudozh,RU,61.8099,36.5345,33.24,100,100,2.08,light snow
40,Souillac,MU,-20.5167,57.5167,76.26,81,30,17.52,scattered clouds
41,Minuri,PH,16.535,121.8574,72.37,97,87,1.79,overcast clouds
42,Kapaa,US,22.0752,-159.319,82.38,76,40,14.97,scattered clouds
43,Palana,RU,59.1167,159.9667,22.46,95,100,10.45,snow
44,Cape Town,ZA,-33.9258,18.4232,59.88,75,75,13.8,broken clouds
45,Korla,CN,41.7597,86.1469,56.05,23,63,8.61,broken clouds
46,Acapulco,MX,16.8634,-99.8901,84.02,70,75,12.66,haze
47,Barrow,US,71.2906,-156.7887,1.42,78,0,18.41,clear sky
48,Ponta Do Sol,PT,32.6667,-17.1,65.71,82,38,3.51,scattered clouds
49,Port Elizabeth,ZA,-33.918,25.5701,64.09,95,75,16.11,broken clouds
50,Lengshuitan,CN,26.4111,111.5956,57.06,91,100,8.37,overcast clouds
51,New Norfolk,AU,-42.7826,147.0587,62.92,58,100,3.0,overcast clouds
52,Jackson,US,42.4165,-122.8345,53.8,43,75,9.22,broken clouds
53,Saint-Philippe,RE,-21.3585,55.7679,78.39,88,60,15.59,light rain
54,Hay River,CA,60.8156,-115.7999,30.18,34,20,6.91,few clouds
55,Sitka,US,57.0531,-135.33,46.29,29,0,9.22,clear sky
56,Bredasdorp,ZA,-34.5322,20.0403,56.71,72,55,6.93,broken clouds
57,Hilo,US,19.7297,-155.09,82.27,77,75,6.91,light rain
58,Iqaluit,CA,63.7506,-68.5145,-0.31,70,0,19.57,clear sky
59,Nanortalik,GL,60.1432,-45.2371,32.94,92,36,3.67,scattered clouds
60,Laguna,US,38.421,-121.4238,59.29,89,100,12.66,light rain
61,Srednekolymsk,RU,67.45,153.6833,11.5,92,100,7.18,light snow
62,Cherskiy,RU,68.75,161.3,17.51,90,100,1.79,light snow
63,Klaksvik,FO,62.2266,-6.589,45.52,91,100,30.33,light rain
64,Guaranesia,BR,-21.2992,-46.8025,66.02,97,67,4.09,broken clouds
65,Lodja,CD,-3.4833,23.4333,69.44,100,100,1.61,overcast clouds
66,Ferrol,ES,43.4832,-8.2369,55.67,82,0,3.4,clear sky
67,Arroyo,ES,41.6096,-4.7969,55.6,78,0,9.22,clear sky
68,Roma,US,43.2128,-75.4557,53.82,89,100,11.5,overcast clouds
69,Saint George,US,37.1041,-113.5841,72.43,9,0,1.99,clear sky
70,Khatanga,RU,71.9667,102.5,-22.45,100,40,2.86,scattered clouds
71,Binghamton,US,42.0987,-75.918,54.86,81,100,9.22,overcast clouds
72,Thompson,CA,55.7435,-97.8558,15.96,48,75,23.02,broken clouds
73,Karasjok,NO,69.4719,25.5112,21.61,87,69,4.99,broken clouds
74,Georgetown,MY,5.4112,100.3354,78.73,99,20,4.61,thunderstorm with light rain
75,Salalah,OM,17.0151,54.0924,78.89,89,20,2.3,few clouds
76,Kodiak,US,57.79,-152.4072,45.91,53,40,17.27,scattered clouds
77,Grindavik,IS,63.8424,-22.4338,48.15,100,100,31.07,moderate rain
78,Caicedo,CO,6.4051,-75.9826,75.87,80,100,1.03,overcast clouds
79,Lasa,IT,46.6166,10.7002,56.28,83,24,2.39,few clouds
80,U Thong,TH,14.3751,99.8923,78.35,70,34,5.73,scattered clouds
81,Chipiona,ES,36.7366,-6.437,62.31,94,0,0.0,clear sky
82,Hobart,AU,-42.8794,147.3294,63.27,64,75,20.71,light rain
83,Porto Torres,IT,40.835,8.3972,60.98,55,100,9.17,overcast clouds
84,Yoichi,JP,43.2039,140.7703,40.62,73,100,1.03,overcast clouds
85,Caravelas,BR,-17.7125,-39.2481,80.11,83,6,9.4,clear sky
86,Chimbote,PE,-9.0853,-78.5783,69.19,78,71,11.01,broken clouds
87,Ranot,TH,7.7777,100.3213,80.11,82,79,6.53,broken clouds
88,Geraldton,AU,-28.7667,114.6,64.81,72,0,10.36,clear sky
89,Tiksi,RU,71.6872,128.8694,-1.32,99,100,8.55,overcast clouds
90,Oranjestad,AW,12.524,-70.027,82.35,69,20,27.63,few clouds
91,Mahebourg,MU,-20.4081,57.7,78.26,78,72,18.54,broken clouds
92,Kahului,US,20.8947,-156.47,84.22,48,20,24.16,few clouds
93,Esperance,AU,-33.8667,121.9,61.74,64,99,4.56,overcast clouds
94,Amuntai,ID,-2.4177,115.2494,72.95,96,74,1.43,broken clouds
95,Butaritari,KI,3.0707,172.7902,81.25,75,81,12.8,broken clouds
96,Dikson,RU,73.5069,80.5464,15.76,93,100,6.42,overcast clouds
97,Yellowknife,CA,62.456,-114.3525,24.3,56,75,9.22,broken clouds
98,Clyde River,CA,70.4692,-68.5914,3.43,78,75,3.44,broken clouds
99,Bethel,US,41.3712,-73.414,69.91,79,100,4.61,light rain
100,Maragogi,BR,-9.0122,-35.2225,79.99,76,11,11.9,few clouds
101,Phalombe,MW,-15.8064,35.6507,67.82,93,63,1.97,broken clouds
102,Margate,GB,51.3813,1.3862,54.7,79,100,1.01,overcast clouds
103,Carballo,ES,43.213,-8.691,54.86,87,1,1.74,clear sky
104,Musoma,TZ,-1.5,33.8,72.12,75,100,5.61,overcast clouds
105,Castro,BR,-24.7911,-50.0119,58.32,95,18,5.99,few clouds
106,Sukumo,JP,32.9333,132.7333,63.75,97,100,3.44,overcast clouds
107,Aleksandrov Gay,RU,50.147,48.5704,43.54,86,98,23.02,light rain
108,Longyearbyen,SJ,78.2186,15.6401,21.04,73,75,4.61,broken clouds
109,Zalantun,CN,48.0,122.7167,40.95,30,95,12.55,overcast clouds
110,Kytmanovo,RU,53.4593,85.4479,34.75,63,0,6.89,clear sky
111,Houma,US,29.5958,-90.7195,78.03,75,75,11.5,broken clouds
